,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
39,Jezabel Miriam,Molina Gil,Ciencia de la Computación e Inteligencia Artificial,3,Linking Mental Health Incidents with External Variables: A Machine Learning StudyLecture Notes in Networks and Systems,
42,María Eugenia,Monzón Perdomo,Historia Moderna,1,La ruta de las Haciendas. El rescate de un paisaje cultural relicto en el norte de TenerifeEuropean Network of Universities for the implementation of the European Landscape Convention,
38,Coromoto León,N/A,Lenguajes y Sistemas Informáticos,1,Learning Descriptors for Novelty-Search Based Instance Generation via Meta-evolutionGECCO 24: Proceedings of the Genetic and Evolutionary Computation Conference,
80,Yolanda,Peralta Sierra,Historia del Arte,0,,
81,María Inmaculada,Perdomo Reyes,Lógica y Filosofía de la Ciencia,0,,
43,Grecy,Pérez Amores,Antropología Social,1,"Transreligiosidad y mujeres en Canarias: Conexiones entre África, Europa y América desde la Edad Moderna hasta hoy1st Congress Bridge to Africa: Las Palmas de Gran Canaria, 20-25.02.2024",
82,Elisa Juana,Pérez Rosales,Teoría e Historia de la Educación,0,,
83,José Antonio,Ramos Arteaga,Literatura Española,0,,
84,Margarita Isabel,Ramos Quintana,Derecho del Trabajo y de la Seguridad Social,0,,
45,Nereida María,Rancel Rodríguez,Botánica,2,"Early steps in the primary succession of seaweed communities at the Tagogaite volcano lava flows (Canary Islands, Spain)European Phycological Congress (8º. 2023. Brest, France)",
44,Nereida María,Rancel Rodríguez,Botánica,2,"Coralline algae (Rhodophyta, Corallinales) early colonizers of the littoral lava flows of the recent volcanic eruption of La Palma (Canary Islands)European Phycological Congress (8º. 2023. Brest, France)",
85,Elvira Carolina,Real Torres,Filología Latina,0,,
86,Rodrigo Fidel,Rodríguez Borges,Comunicación Audiovisual y Publicidad,0,,
87,Juan José,Rodríguez Bravo de Laguna,Derecho del Trabajo y de la Seguridad Social,0,,
46,Sarai,Rodríguez González,Derecho del Trabajo y de la Seguridad Social,1,Patologías asociadas a la salud psicosocial en el trabajo: desafíos de su calificación jurídica como contingencias profesionalesIgualdad de trato y no discriminación en la salud y protección social en la era de la disrupción digital,
88,Elena,Rodríguez Naveiras,Metodología de las Ciencias del Comportamiento,0,,
89,Gloria Pilar,Rojas Rivero,Derecho del Trabajo y de la Seguridad Social,0,,
90,María del Carmen,Rubio Armendáriz,Toxicología,0,,
47,Casilda,Álvarez Siverio,Filología Griega,0,,
